HospitalId,HospitalName,DistrictId
DTPSHO,D.T.P.S. Hospital,BDH
IRCSHO,I.R.C.S. Hospital,BDH
SDBTBS,S.B.Dey T.B. Sanatorium,DAR
ESIN2P,"E.S.I.Hospital, Kamarhati",N2P
MMCWHO,Municipal Maternity cum Child Welfare Hospital,N2P
SDSGHO,Sagar Dutta State General Hospital,N2P
ATDMHO,A.T. Dhar Memorial Hospital,S2P
BSGHOS,Baghajatin State General Hospital,S2P
ACJHOS,Alipur Central Jail Hospital,KOL
ASJHOS,Alipur Special Jail Hospital,KOL
BCRMHC,Dr. B.C.Roy Memorial Hospital for Children,KOL
JNRSSB,J.N. Roy Sishu Seva Bhawan,KOL
ESIKOL,"E.S.I. Hospital, Maniktala",KOL
